Camera,Species,Detection_Prob
Cam1,Eland,0.024944909651828998
Cam1,Gemsbok,0.026884089907448214
Cam1,Springbok,7.933010136624063e-4
Cam1,Steenbok,0.0014103129131776114
Cam1,Wildebeest,0
Cam2,Eland,0.03792851932895697
Cam2,Gemsbok,0.023340627279358133
Cam2,Springbok,0.005105762217359592
Cam2,Steenbok,0.0014587892049598833
Cam2,Wildebeest,0.0029175784099197666
Cam3,Eland,0.04075829383886256
Cam3,Gemsbok,0.043601895734597156
Cam3,Springbok,9.478672985781991e-4
Cam3,Steenbok,0.0033175355450236967
Cam3,Wildebeest,0.0033175355450236967
Cam4,Eland,0.10932584269662922
Cam4,Gemsbok,0.11224719101123595
Cam4,Springbok,0.004719101123595505
Cam4,Steenbok,5.617977528089888e-4
Cam4,Wildebeest,0.002584269662921348
Cam5,Eland,0.1008610086100861
Cam5,Gemsbok,0.006150061500615006
Cam5,Springbok,0.008610086100861008
Cam5,Steenbok,0
Cam5,Wildebeest,0.0024600246002460025
Cam6,Eland,0.06153846153846154
Cam6,Gemsbok,0.03879598662207358
Cam6,Springbok,0.002006688963210702
Cam6,Steenbok,6.688963210702341e-4
Cam6,Wildebeest,0.002006688963210702
Cam7,Eland,0.013112491373360938
Cam7,Gemsbok,0.017943409247757072
Cam7,Springbok,0
Cam7,Steenbok,0.006211180124223602
Cam7,Wildebeest,0.002070393374741201
Cam8,Eland,0.006622516556291391
Cam8,Gemsbok,0.006622516556291391
Cam8,Springbok,0
Cam8,Steenbok,0.011825922421948912
Cam8,Wildebeest,9.46073793755913e-4
